Arc Lightning	USG	2014-02-07 23:23:09	1
Hush	USG	2014-02-07 23:23:18	1
Galvanic Key	MRD	2014-02-07 23:24:50	1
Serpent Skin	CHK	2014-02-07 23:24:59	1
Crookclaw Transmuter	TSP	2014-02-07 23:25:08	1
Durkwood Tracker	TSP	2014-02-07 23:25:17	1
Chromatic Star	TSP	2014-02-07 23:25:30	2
Venarian Glimmer	PLC	2014-02-07 23:25:42	1
Wings of Velis Vel	LRW	2014-02-07 23:25:51	1
Sage of Fables	MOR	2014-02-07 23:26:08	1
Souldrinker	DDC	2014-02-07 23:26:28	1
Priest of Urabrask	NPH	2014-02-07 23:30:05	1
Deranged Assistant	ISD	2014-02-07 23:30:14	1
Fencing Ace	RTR	2014-02-07 23:30:24	1
Thrill-Kill Assassin	RTR	2014-02-07 23:30:31	2
Dreg Mangler	RTR	2014-02-07 23:30:41	2
Dreg Mangler	RTR	2014-02-07 23:30:44	-1
Frostburn Weird	RTR	2014-02-07 23:30:52	1
Rakdos Cackler	RTR	2014-02-07 23:31:02	1
Dynacharge	RTR	2014-02-07 23:31:10	3
Dynacharge	RTR	2014-02-07 23:31:15	-1
Izzet Charm	RTR	2014-02-07 23:31:24	1
Teleportal	RTR	2014-02-07 23:31:34	1
Call of the Conclave	RTR	2014-02-07 23:31:43	1
Cloudfin Raptor	GTC	2014-02-07 23:31:52	1
Foundry Street Denizen	GTC	2014-02-07 23:32:03	2
Spire Tracer	GTC	2014-02-07 23:32:13	2
Vizkopa Guildmage	GTC	2014-02-07 23:32:26	1
Zameck Guildmage	GTC	2014-02-07 23:32:36	1
Deathcult Rogue	GTC	2014-02-07 23:32:44	2
Burning-Tree Emissary	GTC	2014-02-07 23:32:56	2
Skullcrack	GTC	2014-02-07 23:33:05	2
Gift of Orzhova	GTC	2014-02-07 23:33:15	1
Time Ebb	M14	2014-02-07 23:33:23	1
Lightning Talons	M14	2014-02-07 23:33:32	1
Into the Wilds	M14	2014-02-07 23:33:41	1
Ivory Giant	MMA	2014-02-07 23:33:52	1
Pyrite Spellbomb	MMA	2014-02-07 23:33:59	1
Triton Tactics	THS	2014-02-07 23:34:07	1
Magma Jet	THS	2014-02-07 23:34:19	1
Ordeal of Purphoros	THS	2014-02-07 23:34:30	2
Plains	THS	2014-02-09 12:32:01	4
Island	THS	2014-02-09 12:32:18	5
Swamp	THS	2014-02-09 12:46:23	4
Mountain	THS	2014-02-09 12:46:39	1
Forest	THS	2014-02-09 12:46:56	4
Vanguard of Brimaz	BNG	2014-02-09 12:48:47	4
Ghostblade Eidolon	BNG	2014-02-09 12:49:07	2
Archetype of Courage	BNG	2014-02-09 12:49:22	3
Akroan Phalanx	BNG	2014-02-09 12:49:40	2
Flitterstep Eidolon	BNG	2014-02-09 12:49:59	3
Perplexing Chimera	BNG	2014-02-09 12:50:12	1
Archetype of Imagination	BNG	2014-02-09 12:50:28	2
Eater of Hope	BNG	2014-02-09 12:50:43	1
Stormcaller of Keranos	BNG	2014-02-09 12:51:06	1
Archetype of Aggression	BNG	2014-02-09 12:51:32	3
Akroan Conscriptor	BNG	2014-02-09 12:51:55	1
Forgestoker Dragon	BNG	2014-02-09 12:52:08	1
Satyr Wayfinder	BNG	2014-02-09 12:53:42	1
Scourge of Skola Vale	BNG	2014-02-09 12:53:55	1
Siren of the Silent Song	BNG	2014-02-09 12:54:45	1
Fanatic of Xenagos	BNG	2014-02-09 12:55:01	1
Sunbond	BNG	2014-02-09 12:55:19	4
Fated Retribution	BNG	2014-02-09 12:55:37	1
Fated Infatuation	BNG	2014-02-09 12:55:50	1
Oracle's Insight	BNG	2014-02-09 12:56:09	4
Fall of the Hammer	BNG	2014-02-09 12:56:28	1
Bolt of Keranos	BNG	2014-02-09 12:57:47	2
Peregrination	BNG	2014-02-09 12:58:00	3
Raised by Wolves	BNG	2014-02-09 12:58:13	1
Ephara's Enlightenment	BNG	2014-02-09 12:58:24	4
Reap What Is Sown	BNG	2014-02-09 12:58:41	3
Springleaf Drum	BNG	2014-02-09 12:58:55	2
Corrosion	VIS	2014-02-25 18:22:12	1
Disturbed Burial	TMP	2014-02-25 18:23:07	1
Rootwater Mystic	EXO	2014-02-25 18:23:18	1
Expunge	USG	2014-02-25 18:23:31	1
Hunting Kavu	INV	2014-02-25 18:23:43	1
Dead Ringers	APC	2014-02-25 18:24:00	1
Obsessive Search	TOR	2014-02-25 18:24:10	4
Filigree Sages	ALA	2014-02-25 18:24:23	1
Solidarity	8ED	2014-02-25 18:24:35	1
Myr Landshaper	DST	2014-02-25 18:24:44	1
Meishin, the Mind Cage	SOK	2014-02-25 18:24:52	1
Aether Figment	ZEN	2014-02-25 18:25:01	1
Priest of Urabrask	NPH	2014-02-25 18:25:24	1
Treasured Find	RTR	2014-02-25 18:25:35	1
Foundry Street Denizen	GTC	2014-02-25 18:25:50	1
Deathcult Rogue	GTC	2014-02-25 18:25:58	1
Frogmite	MMA	2014-02-25 18:26:10	1
Myr Enforcer	MMA	2014-02-25 18:26:19	1
Rift Bolt	MMA	2014-02-25 18:26:28	1
Dakmor Salvage	MMA	2014-02-25 18:26:35	1
Triton Tactics	THS	2014-02-25 18:26:45	1
Nyxborn Shieldmate	BNG	2014-02-25 18:27:02	1
Meletis Astronomer	BNG	2014-02-25 18:27:35	2
Drown in Sorrow	BNG	2014-02-25 18:27:44	2
Order of Leitbur	FEM	2014-03-21 20:55:28	1
Order of the Ebon Hand	FEM	2014-03-21 20:55:35	1
Thallid	FEM	2014-03-21 20:59:01	1
Scryb Sprites	4ED	2014-03-21 21:06:33	4
Wild Growth	4ED	2014-03-21 21:06:52	4
Sylvan Library	4ED	2014-03-21 21:07:05	4
Sylvan Library	4ED	2014-03-21 21:07:08	-3
Fyndhorn Elves	ICE	2014-03-21 21:07:28	4
Wings of Aesthir	ICE	2014-03-21 21:15:27	1
Bounty of the Hunt	ALL	2014-03-21 21:22:01	1
Mtenda Lion	MIR	2014-03-21 21:22:25	14
Mtenda Lion	MIR	2014-03-21 21:22:29	-10
Afterlife	MIR	2014-03-21 21:22:42	1
Roots of Life	MIR	2014-03-21 21:22:54	1
Miraculous Recovery	VIS	2014-03-21 21:23:14	1
Funeral Charm	VIS	2014-03-21 21:23:58	4
Fireblast	VIS	2014-03-21 21:25:10	1
Rowen	VIS	2014-03-21 21:25:18	1
Serra's Blessing	WTH	2014-03-21 21:25:31	1
Call of the Wild	WTH	2014-03-21 21:25:47	1
Soltari Foot Soldier	TMP	2014-03-21 21:26:17	4
Dauthi Horror	TMP	2014-03-21 21:26:40	1
Dauthi Slayer	TMP	2014-03-21 21:26:45	1
Worthy Cause	TMP	2014-03-21 21:26:57	1
Diabolic Edict	TMP	2014-03-21 21:28:50	1
Outmaneuver	USG	2014-03-21 21:31:48	1
Familiar Ground	6ED	2014-03-21 21:32:02	1
Mercadia's Downfall	MMQ	2014-03-21 21:32:19	1
Gaea's Skyfolk	APC	2014-03-21 21:36:10	1
Diversionary Tactics	APC	2014-03-21 21:36:22	1
Dawning Purist	ONS	2014-03-21 21:36:31	1
Serum Tank	MRD	2014-03-21 21:36:40	1
Mephidross Vampire	5DN	2014-03-21 21:36:50	1
Aethersnipe	LRW	2014-03-21 21:36:58	1
Aquitect's Will	LRW	2014-03-21 21:37:11	1
Spell Contortion	WWK	2014-03-21 21:37:40	1
Hammer of Ruin	WWK	2014-03-21 21:37:49	1
Barbed Battlegear	SOM	2014-03-21 21:38:00	1
Dearly Departed	ISD	2014-03-21 21:38:26	1
Epic Experiment	RTR	2014-03-21 21:38:36	1
Ogre Battledriver	M14	2014-03-21 21:39:24	1
Dismiss into Dream	M14	2014-03-21 21:39:33	1
Meletis Astronomer	BNG	2014-03-21 21:39:41	1
Fanatic of Xenagos	BNG	2014-03-21 21:39:48	1
Glimpse the Sun God	BNG	2014-03-21 21:39:57	2
Fissure	DRK	2014-03-30 13:09:52	1
Cuombajj Witches	ARN	2014-03-30 13:10:01	1
Undo	VIS	2014-03-30 13:10:18	1
Belbe's Armor	NEM	2014-03-30 13:10:44	1
Seer's Vision	INV	2014-03-30 13:11:43	1
Pitchstone Wall	TOR	2014-03-30 13:12:02	1
Anurid Scavenger	TOR	2014-03-30 13:12:10	1
Meddle	ONS	2014-03-30 13:12:22	1
Wave of Indifference	ONS	2014-03-30 13:12:30	1
Windborn Muse	LGN	2014-03-30 13:12:39	1
Pyrite Spellbomb	MRD	2014-03-30 13:13:24	1
Ouphe Vandals	5DN	2014-03-30 13:13:36	1
Ivory Giant	TSP	2014-03-30 13:15:40	1
Needle Drop	LRW	2014-03-30 13:15:51	1
Quicksand	WWK	2014-03-30 13:16:02	2
Jace's Ingenuity	M11	2014-03-30 13:16:53	2
Grand Architect	SOM	2014-03-30 13:17:05	1
Withstand Death	SOM	2014-03-30 13:17:14	1
Deranged Assistant	ISD	2014-03-30 13:17:23	1
Dissipate	ISD	2014-03-30 13:56:46	1
Latch Seeker	AVR	2014-03-30 13:57:01	1
Miracle Worker	DRK	2014-04-23 15:32:37	1
Cuombajj Witches	ARN	2014-04-23 15:35:04	-1
Cuombajj Witches	CHR	2014-04-23 15:35:07	1
Cuombajj Witches	CHR	2014-04-23 15:35:11	2
Varchild's War-Riders	ALL	2014-04-23 15:35:29	1
Shadow Guildmage	MIR	2014-04-23 15:35:44	1
Maddening Imp	TMP	2014-04-23 15:35:54	1
Skyshroud Elf	TMP	2014-04-23 15:36:04	1
Fiery Mantle	USG	2014-04-23 15:36:12	1
Trap Runner	MMQ	2014-04-23 15:36:26	1
Prohibit	INV	2014-04-23 15:36:40	2
Tribal Flames	INV	2014-04-23 15:36:51	1
Confound	PLS	2014-04-23 15:37:01	1
Gaea's Balance	APC	2014-04-23 15:37:28	1
Orcish Spy	8ED	2014-04-23 15:37:39	1
Fractured Loyalty	MRD	2014-04-23 15:37:50	1
Myr Landshaper	DST	2014-04-23 15:37:59	2
Kavu Primarch	FUT	2014-04-23 15:38:08	1
Drudge Skeletons	M10	2014-04-23 15:38:17	1
Doom Blade	M10	2014-04-23 15:38:26	1
Everflowing Chalice	WWK	2014-04-23 15:38:37	1
Exsanguinate	SOM	2014-04-23 15:38:50	1
Withstand Death	SOM	2014-04-23 15:38:58	1
Simic Growth Chamber	CMD	2014-04-23 15:39:07	1
Golgari Rot Farm	CMD	2014-04-23 15:39:18	1
Dimir Aqueduct	CMD	2014-04-23 15:39:26	1
Rally the Peasants	ISD	2014-04-23 15:39:35	2
Bump in the Night	ISD	2014-04-23 15:39:44	1
Barter in Blood	AVR	2014-04-23 15:39:54	2
Dynacharge	RTR	2014-04-23 15:40:02	2
Azorius Charm	RTR	2014-04-23 15:40:12	1
Codex Shredder	RTR	2014-04-23 15:40:22	1
Mad Auntie	MMA	2014-04-23 15:40:31	1
Street Wraith	MMA	2014-04-23 15:40:40	1
Thundercloud Shaman	MMA	2014-04-23 15:40:48	1
Thirst for Knowledge	MMA	2014-04-23 15:40:59	1
Empty the Warrens	MMA	2014-04-23 15:41:06	1
